fecha,hora,prediccion_frio_kw,y_true
2023-08-29,23:59:00,32693.268033323486,32933.0
2023-08-30,23:59:00,32822.8730391614,34200.0
2023-08-31,23:59:00,33228.786835123756,35467.0
2023-09-01,23:59:00,32015.017560648434,27779.0
2023-09-02,23:59:00,26379.822947184588,23370.0
2023-09-03,23:59:00,25494.51343104427,18032.0
2023-09-04,23:59:00,23687.40877949134,22255.0
2023-09-05,23:59:00,26411.58561115927,26277.0
2023-09-06,23:59:00,27420.518751267726,26705.0
2023-09-07,23:59:00,26475.473176602634,24548.0
2023-09-08,23:59:00,26357.944328342735,27672.0
2023-09-09,23:59:00,23262.914555024978,19143.0
2023-09-10,23:59:00,23380.576355832178,28749.0
2023-09-11,23:59:00,29424.161606482325,29133.0
2023-09-12,23:59:00,29135.288697053486,28655.0
2023-09-13,23:59:00,27940.661899330335,32127.0
2023-09-14,23:59:00,30763.67145573244,21128.0
2023-09-15,23:59:00,23852.464654292606,24051.0
2023-09-16,23:59:00,22200.75751284874,24186.0
2023-09-17,23:59:00,23683.910333225493,23778.0
2023-09-18,23:59:00,22987.039173823203,20388.0
2023-09-19,23:59:00,23463.808794938985,23008.0
2023-09-20,23:59:00,24494.30126200537,20805.0
2023-09-21,23:59:00,24216.161932366398,19425.0
2023-09-22,23:59:00,24905.706662098444,23872.0
2023-09-23,23:59:00,22830.93587579626,23944.0
2023-09-24,23:59:00,22233.956335426086,28149.0
2023-09-25,23:59:00,25769.397121193128,23655.0
2023-09-26,23:59:00,25879.86535185692,19718.0
2023-09-27,23:59:00,24974.15579262164,21112.0
2023-09-28,23:59:00,25302.550543566136,17886.0
2023-09-29,23:59:00,22297.469156479357,18097.0
2023-09-30,23:59:00,20556.59466967853,14055.0
2023-10-01,23:59:00,13688.273161194289,17955.0
2023-10-02,23:59:00,18202.221390270992,16972.0
2023-10-03,23:59:00,18128.602265090856,17057.0
2023-10-04,23:59:00,18392.372361069007,19132.0
2023-10-05,23:59:00,19441.013107000694,21025.0
2023-10-06,23:59:00,18289.2387409398,17405.0
2023-10-07,23:59:00,16969.63735078831,17995.0
2023-10-08,23:59:00,18246.276677956124,16955.0
2023-10-09,23:59:00,18126.28011582619,20317.0
2023-10-10,23:59:00,20708.2394967927,14626.0
2023-10-11,23:59:00,16017.356466607594,13556.0
2023-10-12,23:59:00,14489.725394258798,16585.0
2023-10-13,23:59:00,17078.937033369155,17417.0
2023-10-14,23:59:00,17000.31366932246,11986.0
2023-10-15,23:59:00,11702.392024632443,13709.0
2023-10-16,23:59:00,16316.246625778038,11410.0
2023-10-17,23:59:00,11498.220932375174,12321.0
2023-10-18,23:59:00,14765.92807332892,12653.0
2023-10-19,23:59:00,12186.67542799099,11931.0
2023-10-20,23:59:00,11118.413166348157,9481.0
2023-10-21,23:59:00,10412.081762117754,11587.0
2023-10-22,23:59:00,11366.75677762371,10123.0
2023-10-23,23:59:00,10573.654746489046,10360.0
2023-10-24,23:59:00,10944.15707872884,10568.0
2023-10-25,23:59:00,10904.816427607295,10568.0
